Quote_ID,Original_Quote_Date,Field_info1 (to number),Field_info2,Field_info3,Field_info4,Coverage_info1,Coverage_info2,Coverage_info3 (to number),Sales_info1,Sales_info2,Sales_info3,Sales_info4 (to number),Sales_info5,Personal_info2,Personal_info3 (to number),Personal_info4,Property_info1,Property_info2,Property_info3 (to number),Property_info4,Property_info5,Geographic_info1,Geographic_info2,Geographic_info3,Geographic_info4,Geographic_info5 (to number)
13644,4/02/2014,0,0.9685,548,0,11,22,0,1,5,7,0,0.417579963,13,0,0,0,0,0,1,20,4,19,-1,0,0
1967,16/03/2015,1,0.9153,935,0,7,22,1,1,5,20,1,0.85156948,-1,1,0,0,0,1,1,18,2,13,-1,0,1
25705,24/03/2014,0,0.9566,548,0,21,22,0,1,5,11,1,0.150157841,-1,2,0,0,0,2,1,17,4,21,-1,0,0
2306,26/11/2013,1,0.9403,965,0,25,22,1,1,5,7,0,0.020400262,13,1,0,0,0,3,0,20,2,4,-1,0,1
12428,2/01/2015,2,0.887,1113,0,4,22,2,1,5,11,2,0.996887843,18,3,0,0,0,1,1,8,18,4,-1,0,2
10763,20/06/2014,3,0.9392,1487,0,6,22,2,1,5,20,2,0.707308357,7,1,0,0,0,4,0,13,9,25,-1,0,3
11827,18/12/2013,0,0.9838,564,0,19,22,0,0,5,7,3,0.726621597,-1,4,0,0,0,5,1,20,4,21,-1,0,0
10923,5/10/2013,1,0.9403,965,0,16,22,1,1,5,20,1,0.528068974,-1,1,0,0,0,3,1,12,2,4,-1,0,1
21413,18/11/2014,0,1.0006,548,0,4,22,0,1,4,11,4,0.025373757,5,5,0,0,0,0,1,8,4,16,-1,0,0
6140,13/03/2013,3,0.9375,1480,0,2,22,2,1,5,23,3,0.191360415,17,1,0,0,0,0,0,1,9,23,-1,0,3
537,24/07/2014,1,0.9153,935,0,11,22,1,1,5,11,4,0.016573352,8,1,0,1,0,3,0,17,2,4,25,0,1
2977,28/03/2014,1,0.9153,935,0,10,22,0,0,4,11,2,0.265888379,5,1,0,0,0,3,1,6,2,5,-1,0,1
3763,2/01/2013,3,0.9368,1480,0,1,22,2,1,3,14,3,0.393054976,6,6,0,0,0,2,1,1,9,25,-1,0,3
16165,8/09/2014,0,1.0006,548,0,10,22,0,1,5,11,1,0.679328727,18,7,0,1,0,0,1,11,4,17,-1,0,0
6345,31/07/2014,2,0.8928,1113,0,6,22,3,1,4,22,4,0.330811841,15,8,0,0,0,4,1,4,15,4,-1,0,2
2568,29/01/2014,1,0.9403,935,0,5,22,1,1,5,7,3,0.656828876,13,1,0,0,0,3,0,9,2,14,-1,0,1
24569,7/08/2014,1,0.9153,935,0,13,22,0,1,4,11,4,0.139183394,3,1,0,0,0,3,0,24,1,4,-1,0,1
2085,2/06/2014,2,0.8928,1113,0,11,22,4,0,5,11,1,0.734707249,6,1,0,0,0,4,0,14,14,5,-1,0,2
22872,6/03/2015,4,0.887,1113,1,2,2,2,1,4,11,1,0.617636548,5,5,0,0,0,6,1,7,24,13,-1,0,2
11517,25/03/2014,2,0.8922,1113,0,11,22,5,0,5,11,0,0.017973078,17,5,0,0,0,7,1,10,18,4,-1,0,2
20149,16/12/2014,1,0.9153,935,0,10,22,1,1,4,11,1,0.447942105,15,1,0,1,0,3,1,21,2,14,-1,0,1
15232,23/06/2013,1,0.9403,965,0,18,22,1,1,5,17,5,0.470546191,-1,1,0,0,0,3,0,25,2,9,-1,0,1
5763,16/09/2013,1,0.9403,965,0,3,22,1,1,5,20,1,0.172404551,7,1,0,0,0,3,0,3,2,12,25,0,1
6165,14/04/2014,3,0.9392,1487,0,11,22,3,1,3,20,1,0.285603669,5,9,0,1,0,6,1,17,9,25,-1,0,3
8788,13/05/2013,0,0.9313,564,0,19,25,0,1,3,15,1,0.455372565,6,10,0,0,0,8,1,22,4,16,-1,0,0
13064,19/02/2013,3,0.9368,1480,0,4,22,2,1,5,23,1,0.505762702,8,1,0,0,0,0,0,9,9,23,-1,0,3
25157,3/09/2014,0,1.0006,548,0,7,22,0,1,5,11,3,0.88909405,8,8,0,0,0,4,1,3,4,18,-1,0,0
10558,9/09/2013,2,0.9497,1165,0,13,22,4,1,5,4,1,0.621597475,10,1,0,0,0,4,0,12,20,4,-1,0,2
18250,18/04/2014,3,0.9392,1487,0,2,22,2,1,4,11,0,0.884939544,6,7,0,0,0,0,1,4,10,24,-1,0,3
2625,5/02/2015,5,0.9108,1487,1,17,22,3,1,5,11,4,0.316621002,4,11,0,0,0,1,1,15,11,24,-1,0,3
3372,22/03/2013,2,0.9769,1165,0,5,22,5,1,5,23,2,0.572398594,10,1,0,0,0,4,0,10,10,4,-1,0,2
4069,14/07/2013,0,0.9919,564,0,4,22,0,0,5,17,5,0.821579606,-1,2,0,0,0,0,0,10,4,21,-1,0,0
1370,1/01/2014,3,0.9472,1487,0,1,22,2,1,5,7,3,0.836902138,4,1,0,0,0,0,0,2,11,23,-1,0,3
2045,15/11/2014,2,0.887,1113,0,3,22,5,1,5,11,6,0.159062481,-1,1,0,0,0,5,0,1,24,14,-1,0,2
9516,28/01/2013,1,0.9219,965,0,6,22,0,1,5,23,1,0.680683781,5,1,0,0,0,3,1,20,2,8,-1,0,1
13888,6/10/2014,2,0.8793,1113,0,21,25,4,0,4,11,3,0.761168027,8,5,0,1,0,4,1,22,14,4,-1,1,2
25620,4/03/2014,2,0.8922,1113,0,4,22,5,0,5,11,0,0.767064745,4,1,0,0,0,4,0,2,24,13,-1,0,2
9082,21/12/2013,1,0.9403,965,0,5,22,1,1,3,7,2,0.790458038,5,1,0,0,0,6,1,17,2,10,-1,0,1
